Year,month,value,var,district
2016,1,8.4,Tmax,East_Anglia
2017,1,6.5,Tmax,East_Anglia
2018,1,8.4,Tmax,East_Anglia
2019,1,6.7,Tmax,East_Anglia
2020,1,9.2,Tmax,East_Anglia
2021,1,5.7,Tmax,East_Anglia
2022,1,8.0,Tmax,East_Anglia
2023,1,8.3,Tmax,East_Anglia
2024,1,7.6,Tmax,East_Anglia
2025,1,6.4,Tmax,East_Anglia
2026,1,7.0,Tmax,East_Anglia
1884,2,8.2,Tmax,East_Anglia
1885,2,9.0,Tmax,East_Anglia
1886,2,2.9,Tmax,East_Anglia
1887,2,7.4,Tmax,East_Anglia
1888,2,3.7,Tmax,East_Anglia
1889,2,5.6,Tmax,East_Anglia
1890,2,5.9,Tmax,East_Anglia
1891,2,8.3,Tmax,East_Anglia
1892,2,6.1,Tmax,East_Anglia
1893,2,7.6,Tmax,East_Anglia
1894,2,8.3,Tmax,East_Anglia
1895,2,1.9,Tmax,East_Anglia
1896,2,7.3,Tmax,East_Anglia
1897,2,8.1,Tmax,East_Anglia
1898,2,8.0,Tmax,East_Anglia
1899,2,9.0,Tmax,East_Anglia
1900,2,6.0,Tmax,East_Anglia
1901,2,4.4,Tmax,East_Anglia
1902,2,4.3,Tmax,East_Anglia
1903,2,10.2,Tmax,East_Anglia
1904,2,6.2,Tmax,East_Anglia
1905,2,7.6,Tmax,East_Anglia
1906,2,6.3,Tmax,East_Anglia
1907,2,5.6,Tmax,East_Anglia
1908,2,8.1,Tmax,East_Anglia
1909,2,5.9,Tmax,East_Anglia
1910,2,8.1,Tmax,East_Anglia
1911,2,7.7,Tmax,East_Anglia
1912,2,8.3,Tmax,East_Anglia
1913,2,7.9,Tmax,East_Anglia
1914,2,10.0,Tmax,East_Anglia
1915,2,7.4,Tmax,East_Anglia
1916,2,6.7,Tmax,East_Anglia
1917,2,3.8,Tmax,East_Anglia
1918,2,8.9,Tmax,East_Anglia
1919,2,4.5,Tmax,East_Anglia
1920,2,9.4,Tmax,East_Anglia
1921,2,8.1,Tmax,East_Anglia
1922,2,7.7,Tmax,East_Anglia
1923,2,8.1,Tmax,East_Anglia
1924,2,5.1,Tmax,East_Anglia
1925,2,8.1,Tmax,East_Anglia
1926,2,9.5,Tmax,East_Anglia
1927,2,7.1,Tmax,East_Anglia
1928,2,9.3,Tmax,East_Anglia
1929,2,2.3,Tmax,East_Anglia
1930,2,5.5,Tmax,East_Anglia
1931,2,6.6,Tmax,East_Anglia
1932,2,5.8,Tmax,East_Anglia
1933,2,7.4,Tmax,East_Anglia
1934,2,7.2,Tmax,East_Anglia
1935,2,8.7,Tmax,East_Anglia
1936,2,5.2,Tmax,East_Anglia
1937,2,8.5,Tmax,East_Anglia
1938,2,7.8,Tmax,East_Anglia
1939,2,8.8,Tmax,East_Anglia
1940,2,4.1,Tmax,East_Anglia
1941,2,6.3,Tmax,East_Anglia
1942,2,2.0,Tmax,East_Anglia
1943,2,9.0,Tmax,East_Anglia
1944,2,5.9,Tmax,East_Anglia
1945,2,10.6,Tmax,East_Anglia
1946,2,8.7,Tmax,East_Anglia
1947,2,-0.2,Tmax,East_Anglia
1948,2,7.6,Tmax,East_Anglia
1949,2,9.7,Tmax,East_Anglia
1950,2,9.2,Tmax,East_Anglia
1951,2,6.5,Tmax,East_Anglia
1952,2,6.0,Tmax,East_Anglia
1953,2,7.0,Tmax,East_Anglia
1954,2,4.9,Tmax,East_Anglia
1955,2,3.9,Tmax,East_Anglia
1956,2,2.0,Tmax,East_Anglia
1957,2,8.5,Tmax,East_Anglia
1958,2,8.1,Tmax,East_Anglia
1959,2,7.0,Tmax,East_Anglia
1960,2,7.1,Tmax,East_Anglia
1961,2,9.7,Tmax,East_Anglia
1962,2,7.1,Tmax,East_Anglia
1963,2,1.3,Tmax,East_Anglia
1964,2,6.9,Tmax,East_Anglia
1965,2,5.4,Tmax,East_Anglia
1966,2,8.2,Tmax,East_Anglia
1967,2,8.4,Tmax,East_Anglia
1968,2,4.6,Tmax,East_Anglia
1969,2,3.3,Tmax,East_Anglia
1970,2,6.0,Tmax,East_Anglia
1971,2,7.7,Tmax,East_Anglia
1972,2,6.8,Tmax,East_Anglia
1973,2,7.3,Tmax,East_Anglia
1974,2,8.4,Tmax,East_Anglia
1975,2,7.8,Tmax,East_Anglia
1976,2,7.0,Tmax,East_Anglia
1977,2,8.1,Tmax,East_Anglia
1978,2,5.0,Tmax,East_Anglia
1979,2,3.3,Tmax,East_Anglia
1980,2,8.7,Tmax,East_Anglia
1981,2,5.9,Tmax,East_Anglia
1982,2,7.4,Tmax,East_Anglia
1983,2,4.4,Tmax,East_Anglia
1984,2,6.2,Tmax,East_Anglia
1985,2,4.7,Tmax,East_Anglia
1986,2,0.9,Tmax,East_Anglia
